1,Engineering
2,Business
3,Physical Sciences
4,Law & Public Policy
5,Computers & Mathematics
6,Agriculture & Natural Resources
7,Industrial Arts & Consumer Services
8,Arts
9,Health
10,Social Science
11,Biology & Life Science
12,Education
13,Humanities & Liberal Arts
14,Psychology & Social Work
15,Communications & Journalism
16,Interdisciplinary
